iteration,startX,startY,goalX,goalY,algorithm,heuristic,map,width,height,size,density,distance,blocked,nodesExpanded,nodesGenerated,nodesVisited,nodesExcluded,jumpPoints,jumpPointChecks,jumpCalls,foundGoal,steps,time
0,120,69,50,114,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,115.0,6697,595,711,596,595,0,0,0,true,177,45.961
0,120,69,50,114,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,115.0,6697,334,383,335,334,383,1189,1800,true,177,17.429
1,121,124,89,58,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,98.0,6697,354,459,355,354,0,0,0,true,133,14.761
1,121,124,89,58,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,98.0,6697,158,200,159,158,200,744,1018,true,116,7.636
2,1,37,59,27,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,68.0,6697,459,535,460,459,0,0,0,true,123,13.664
2,1,37,59,27,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,68.0,6697,240,281,241,240,281,890,1369,true,122,8.257
3,93,70,78,29,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,56.0,6697,152,204,153,152,0,0,0,true,83,5.303
3,93,70,78,29,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,56.0,6697,71,91,72,71,91,327,410,true,77,2.497
4,97,80,36,50,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,91.0,6697,235,326,236,235,0,0,0,true,123,6.672
4,97,80,36,50,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,91.0,6697,110,144,111,110,144,544,705,true,109,3.641
5,48,15,62,66,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,65.0,6697,310,370,311,310,0,0,0,true,103,6.122
5,48,15,62,66,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,65.0,6697,143,176,144,143,176,612,841,true,96,4.147
6,101,13,110,57,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,53.0,6697,331,384,332,331,0,0,0,true,89,5.914
6,101,13,110,57,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,53.0,6697,157,189,158,157,189,639,937,true,84,3.95
7,98,108,37,55,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,114.0,6697,76,217,77,76,0,0,0,true,123,1.276
7,98,108,37,55,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,114.0,6697,42,78,43,42,78,345,423,true,100,1.894
8,68,30,55,122,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,105.0,6697,1405,1532,1406,1405,0,0,0,true,199,19.653
8,68,30,55,122,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,105.0,6697,789,854,790,789,854,2515,4528,true,197,20.28
9,108,91,70,111,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,58.0,6697,386,463,387,386,0,0,0,true,95,4.491
9,108,91,70,111,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,58.0,6697,229,261,230,229,261,784,1280,true,95,4.448
10,58,28,15,102,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,117.0,6697,1000,1130,1001,1000,0,0,0,true,185,11.052
10,58,28,15,102,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,117.0,6697,603,651,604,603,651,1861,3307,true,181,11.887
11,104,2,91,53,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,64.0,6697,483,544,484,483,0,0,0,true,115,5.191
11,104,2,91,53,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,64.0,6697,307,338,308,307,338,1012,1689,true,118,7.283
12,96,106,31,55,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,116.0,6697,116,251,117,116,0,0,0,true,131,1.662
12,96,106,31,55,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,116.0,6697,56,93,57,56,93,392,479,true,108,1.35
13,41,116,88,105,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,58.0,6697,353,422,354,353,0,0,0,true,101,2.75
13,41,116,88,105,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,58.0,6697,190,218,191,190,218,680,1050,true,100,3.04
14,19,93,49,79,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,44.0,6697,298,361,299,298,0,0,0,true,75,2.153
14,19,93,49,79,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,44.0,6697,166,191,167,166,191,586,960,true,76,2.948
15,16,123,7,59,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,73.0,6697,514,563,515,514,0,0,0,true,131,3.198
15,16,123,7,59,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,73.0,6697,227,262,228,227,262,902,1360,true,121,8.989
16,113,39,54,36,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,62.0,6697,421,495,422,421,0,0,0,true,119,3.762
16,113,39,54,36,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,62.0,6697,208,247,209,208,247,828,1219,true,118,2.887
17,121,22,1,117,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,215.0,6697,1292,1545,1293,1292,0,0,0,true,325,10.882
17,121,22,1,117,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,215.0,6697,762,857,763,762,857,2516,4137,true,324,7.568
18,2,75,84,24,ASTAR,Manhattan,Paths_125x125b,125,125,15625,0.428608,133.0,6697,1569,1729,1570,1569,0,0,0,true,215,11.214
18,2,75,84,24,JPS,Manhattan,Paths_125x125b,125,125,15625,0.428608,133.0,6697,874,939,875,874,939,2624,4819,true,214,10.063
