iteration,startX,startY,goalX,goalY,algorithm,heuristic,map,width,height,size,density,distance,blocked,nodesExpanded,nodesGenerated,nodesVisited,nodesExcluded,jumpPoints,jumpPointChecks,foundGoal,steps,time
0,39,3,144,227,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,329.0,34038,4440,4821,4441,4440,0,0,true,559,159.474
0,39,3,144,227,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,329.0,34038,279,358,280,279,358,8328,true,343,84.771
1,108,47,165,165,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,175.0,34038,257,562,258,257,0,0,true,269,2.168
1,108,47,165,165,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,175.0,34038,28,44,29,28,44,1115,true,163,2.454
2,121,124,1,37,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,207.0,34038,678,1008,679,678,0,0,true,319,4.868
2,121,124,1,37,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,207.0,34038,94,120,95,94,120,2709,true,192,3.085
3,93,195,36,175,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,77.0,34038,478,568,479,478,0,0,true,139,3.84
3,93,195,36,175,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,77.0,34038,24,34,25,24,34,1377,true,98,1.389
4,226,138,223,233,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,98.0,34038,149,261,150,149,0,0,true,191,1.062
4,226,138,223,233,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,98.0,34038,11,22,12,11,22,645,true,103,0.913
5,148,134,162,180,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,60.0,34038,49,157,50,49,0,0,true,99,0.459
5,148,134,162,180,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,60.0,34038,11,21,12,11,21,402,true,61,0.543
6,185,226,55,247,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,151.0,34038,27178,27178,27178,27178,0,0,false,n/a,166.44
6,185,226,55,247,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,151.0,34038,1625,1624,1625,1625,1624,31097,false,n/a,59.725
7,112,103,195,111,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,91.0,34038,472,596,473,472,0,0,true,177,1.791
7,112,103,195,111,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,91.0,34038,28,50,29,28,50,1568,true,98,0.889
8,140,102,229,2,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,189.0,34038,633,927,634,633,0,0,true,315,2.924
8,140,102,229,2,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,189.0,34038,41,62,42,41,62,1922,true,192,1.096
9,221,231,166,116,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,170.0,34038,178,450,179,178,0,0,true,295,0.921
9,221,231,166,116,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,170.0,34038,27,46,28,27,46,2203,true,175,1.175
10,19,93,54,36,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,92.0,34038,70,190,71,70,0,0,true,141,0.334
10,19,93,54,36,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,92.0,34038,20,32,21,20,32,514,true,91,0.359
11,164,122,246,147,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,107.0,34038,15399,15838,15400,15399,0,0,true,631,82.195
11,164,122,246,147,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,107.0,34038,870,925,871,870,925,20689,true,341,23.815
12,127,75,103,8,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,91.0,34038,1474,1662,1475,1474,0,0,true,213,7.614
12,127,75,103,8,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,91.0,34038,58,80,59,58,80,3110,true,127,1.69
13,246,72,142,18,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,158.0,34038,554,707,555,554,0,0,true,335,2.207
13,246,72,142,18,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,158.0,34038,23,37,24,23,37,1897,true,189,1.208
14,126,99,194,91,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,76.0,34038,580,728,581,580,0,0,true,137,2.454
14,126,99,194,91,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,76.0,34038,34,53,35,34,53,1604,true,77,1.054
15,212,175,165,68,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,154.0,34038,690,901,691,690,0,0,true,269,7.426
15,212,175,165,68,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,154.0,34038,24,40,25,24,40,1959,true,155,0.993
16,28,246,212,73,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,357.0,34038,648,648,648,648,0,0,false,n/a,2.333
16,28,246,212,73,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,357.0,34038,9,8,9,9,8,571,false,n/a,0.341
17,249,231,127,137,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,216.0,34038,1840,2182,1841,1840,0,0,true,863,8.004
17,249,231,127,137,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,216.0,34038,88,133,89,88,133,4558,true,489,2.443
18,98,173,115,191,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,35.0,34038,385,489,386,385,0,0,true,87,1.688
18,98,173,115,191,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,35.0,34038,24,41,25,24,41,1874,true,52,1.082
19,201,6,89,2,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,116.0,34038,112,344,113,112,0,0,true,225,0.641
19,201,6,89,2,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,116.0,34038,5,12,6,5,12,1064,true,118,0.777
20,226,153,127,49,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,203.0,34038,2693,3066,2694,2693,0,0,true,415,10.894
20,226,153,127,49,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,203.0,34038,125,164,126,125,164,4928,true,244,3.296
21,105,15,102,149,ASTAR,Manhattan,Paths_250x250b,250,250,62500,0.544608,137.0,34038,1672,1958,1673,1672,0,0,true,305,6.998
21,105,15,102,149,JPS,Manhattan,Paths_250x250b,250,250,62500,0.544608,137.0,34038,99,146,100,99,146,4478,true,188,3.246
