iteration,startX,startY,goalX,goalY,algorithm,heuristic,map,width,height,size,density,distance,blocked,nodesExpanded,nodesGenerated,nodesVisited,nodesExcluded,jumpPoints,jumpPointChecks,jumpCalls,foundGoal,steps,time
0,251,132,94,444,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,469.0,82602,4820,5491,4821,4820,0,0,0,true,799,161.151
0,251,132,94,444,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,469.0,82602,786,939,787,786,939,7354,13412,true,522,42.577
1,319,488,488,52,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,605.0,82602,4972,5962,4973,4972,0,0,0,true,951,37.909
1,319,488,488,52,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,605.0,82602,723,913,724,723,913,10852,23715,true,608,22.769
2,343,185,131,84,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,313.0,82602,1403,1804,1404,1403,0,0,0,true,481,5.938
2,343,185,131,84,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,313.0,82602,495,599,496,495,599,4548,8146,true,369,6.766
3,300,465,53,99,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,613.0,82602,3278,4155,3279,3278,0,0,0,true,839,16.336
3,300,465,53,99,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,613.0,82602,523,689,524,523,689,6811,15771,true,603,8.99
4,304,333,78,225,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,334.0,82602,2819,3145,2820,2819,0,0,0,true,559,9.801
4,304,333,78,225,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,334.0,82602,872,982,873,872,982,6324,10714,true,414,7.317
5,147,29,153,129,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,106.0,82602,787,972,788,787,0,0,0,true,201,3.173
5,147,29,153,129,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,106.0,82602,67,99,68,67,99,1507,2004,true,127,1.179
6,152,117,257,25,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,197.0,82602,159,454,160,159,0,0,0,true,245,0.831
6,152,117,257,25,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,197.0,82602,88,135,89,88,135,1934,2548,true,183,1.503
7,351,278,314,453,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,212.0,82602,1233,1483,1234,1233,0,0,0,true,361,4.471
7,351,278,314,453,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,212.0,82602,307,374,308,307,374,2937,4556,true,244,3.033
8,173,100,400,413,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,540.0,82602,2597,3281,2598,2597,0,0,0,true,815,10.337
8,173,100,400,413,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,540.0,82602,744,896,745,744,896,6476,11945,true,604,7.345
9,30,92,281,123,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,282.0,82602,3893,4326,3894,3893,0,0,0,true,507,21.234
9,30,92,281,123,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,282.0,82602,1135,1278,1136,1135,1278,10333,31499,true,337,16.738
10,79,500,29,385,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,165.0,82602,459,778,460,459,0,0,0,true,231,1.946
10,79,500,29,385,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,165.0,82602,58,101,59,58,101,3305,5130,true,144,2.444
11,463,8,482,380,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,391.0,82602,5798,6436,5799,5798,0,0,0,true,745,26.842
11,463,8,482,380,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,391.0,82602,656,805,657,656,805,11129,25733,true,436,13.013
12,304,387,124,286,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,281.0,82602,1561,1870,1562,1561,0,0,0,true,429,5.964
12,304,387,124,286,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,281.0,82602,640,729,641,640,729,4694,9072,true,293,5.744
13,174,41,497,366,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,648.0,82602,1185,2079,1186,1185,0,0,0,true,895,5.019
13,174,41,497,366,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,648.0,82602,421,570,422,421,570,4770,6887,true,670,4.271
14,135,175,175,316,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,181.0,82602,2053,2277,2054,2053,0,0,0,true,305,7.534
14,135,175,175,316,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,181.0,82602,1062,1159,1063,1062,1159,7553,14743,true,235,9.67
15,3,122,440,318,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,633.0,82602,14378,15067,14379,14378,0,0,0,true,1011,62.898
15,3,122,440,318,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,633.0,82602,6491,6806,6492,6491,6806,41761,128024,true,772,83.412
16,144,358,355,361,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,214.0,82602,2868,3155,2869,2868,0,0,0,true,427,11.064
16,144,358,355,361,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,214.0,82602,780,882,781,780,882,5556,12509,true,282,7.017
17,58,336,377,478,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,461.0,82602,4218,4909,4219,4218,0,0,0,true,695,17.902
17,58,336,377,478,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,461.0,82602,814,988,815,814,988,11576,29688,true,477,15.329
18,380,476,122,47,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,687.0,82602,6880,7807,6881,6880,0,0,0,true,1063,30.03
18,380,476,122,47,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,687.0,82602,1896,2160,1897,1896,2160,15127,32087,true,766,18.774
19,339,323,63,39,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,560.0,82602,3289,4091,3290,3289,0,0,0,true,887,19.057
19,339,323,63,39,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,560.0,82602,674,836,675,674,836,6430,9215,true,634,5.137
20,398,267,425,245,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,49.0,82602,294,393,295,294,0,0,0,true,85,1.063
20,398,267,425,245,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,49.0,82602,63,89,64,63,89,606,855,true,61,0.493
21,481,492,490,54,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,447.0,82602,7614,8148,7615,7614,0,0,0,true,877,36.487
21,481,492,490,54,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,447.0,82602,757,869,758,757,869,11808,27222,true,509,14.041
22,375,421,113,417,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,266.0,82602,3710,4101,3711,3710,0,0,0,true,525,19.33
22,375,421,113,417,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,266.0,82602,909,1056,910,909,1056,8017,18713,true,339,11.995
23,495,138,451,145,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,51.0,82602,113,210,114,113,0,0,0,true,91,0.519
23,495,138,451,145,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,51.0,82602,13,25,14,13,25,287,360,true,59,0.272
24,324,116,488,30,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,250.0,82602,499,912,500,499,0,0,0,true,357,2.156
24,324,116,488,30,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,250.0,82602,100,171,101,100,171,2407,3341,true,250,1.695
25,289,33,387,16,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,115.0,82602,619,818,620,619,0,0,0,true,199,3.228
25,289,33,387,16,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,115.0,82602,56,87,57,56,87,1193,1773,true,123,1.095
26,83,392,22,19,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,434.0,82602,4114,4804,4115,4114,0,0,0,true,751,27.384
26,83,392,22,19,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,434.0,82602,560,688,561,560,688,7850,20240,true,463,9.136
27,388,361,457,299,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,131.0,82602,125,307,126,125,0,0,0,true,171,0.78
27,388,361,457,299,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,131.0,82602,77,115,78,77,115,1115,1484,true,147,0.794
28,391,259,155,26,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,469.0,82602,1286,2021,1287,1286,0,0,0,true,659,5.242
28,391,259,155,26,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,469.0,82602,237,358,238,237,358,4069,6034,true,476,3.606
29,421,483,56,181,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,667.0,82602,1627,2548,1628,1627,0,0,0,true,873,6.406
29,421,483,56,181,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,667.0,82602,766,951,767,766,951,7344,13046,true,656,7.979
30,332,101,178,3,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,252.0,82602,496,911,497,496,0,0,0,true,351,2.197
30,332,101,178,3,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,252.0,82602,83,128,84,83,128,2143,3008,true,234,1.705
31,332,489,223,199,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,399.0,82602,31354,31929,31355,31354,0,0,0,true,807,187.802
31,332,489,223,199,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,399.0,82602,11531,11854,11532,11531,11854,69151,231918,true,639,165.406
32,119,492,332,258,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,447.0,82602,3957,4501,3958,3957,0,0,0,true,619,15.667
32,119,492,332,258,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,447.0,82602,974,1090,975,974,1090,7393,13732,true,479,7.399
33,21,93,15,411,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,324.0,82602,4439,4920,4440,4439,0,0,0,true,637,21.402
33,21,93,15,411,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,324.0,82602,730,863,731,730,863,9238,25178,true,386,10.802
34,69,444,139,28,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,486.0,82602,5000,5678,5001,5000,0,0,0,true,841,22.868
34,69,444,139,28,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,486.0,82602,1083,1276,1084,1083,1276,9350,19022,true,538,9.837
35,110,107,374,199,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,356.0,82602,5008,5470,5009,5008,0,0,0,true,569,18.224
35,110,107,374,199,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,356.0,82602,1303,1459,1304,1303,1459,9560,19125,true,387,10.79
36,126,383,327,486,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,304.0,82602,412,919,413,412,0,0,0,true,427,2.218
36,126,383,327,486,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,304.0,82602,92,164,93,92,164,2537,3427,true,294,2.491
37,499,89,44,313,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,679.0,82602,18407,19224,18408,18407,0,0,0,true,1103,79.598
37,499,89,44,313,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,679.0,82602,6604,6964,6605,6604,6964,44854,133592,true,755,79.303
38,289,208,181,389,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,289.0,82602,4350,4880,4351,4350,0,0,0,true,605,17.438
38,289,208,181,389,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,289.0,82602,678,749,679,678,749,4860,7637,true,458,4.462
39,22,133,37,459,ASTAR,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,341.0,82602,3164,3795,3165,3164,0,0,0,true,653,13.134
39,22,133,37,459,JPS,Manhattan,Paths_500x500,500,501,250500,0.329748502994012,341.0,82602,453,572,454,453,572,6298,13927,true,380,6.128
